ID,Title,TMDB_id,IMGID,Release,Runtime,Genres,Language,Cast,Director,Producer,Writer,Sound Designer,Editor,Director of Photography,Composer,Art Direction,Production Design,Costume Design,Makeup Artist
[Film4663],Traffic,30593,/A9jsB1t49L0p0mD7Wqn9Y4WVFkh.jpg,1973-08-08,76,"Animation,Comedy,Drama",en,"Joseph Kaufmann,Frank De Kova,Terry Haven,Mary Dean Lauria,Jacqueline Mills",Ralph Bakshi,"Samuel Z. Arkoff,Steve Krantz",,,,,,,,,
[Film46716],The Avenging Eagle,83876,/tmYnyvmcbIky0AO3J5E93MKug4p.jpg,1978-09-13,90,"Action,Adventure",zh,"Ti Lung,Alexander Fu Sheng,Ku Feng,Johnny Wang Lung-Wei,Eddy Ko",Sun Chung,"Run Run Shaw,Mona Fong",Ni Kuang,,"Chiang Hsing-Lung,Yu Siu-fung",Lam Nai-Choi,,Chan King-Sam,,Kuan-Kai Kong,
[Film4672],Scarecrow,31587,/uQCTsdKKWvz1jwwok5V2VJBQwoz.jpg,1973-04-11,112,Drama,en,"Gene Hackman,Al Pacino,Dorothy Tristan,Ann Wedgeworth,Richard Lynch",Jerry Schatzberg,,Garry Michael White,,Evan A. Lottman,Vilmos Zsigmond,,,,,
[Film46876],T.R. Baskin,,,,,,,,,,,,,,,,,,
[Film46],Blazing Saddles,11072,/nb1MLEOXVFBKTM4J9GLoksqgDBk.jpg,1974-02-07,93,"Western,Comedy",en,"Cleavon Little,Gene Wilder,Slim Pickens,David Huddleston,Liam Dunn",Mel Brooks,Michael Hertzberg,,,"John C. Howard,Danford B. Greene",Joseph F. Biroc,John Morris,,Peter Wooley,Vittorio Nino Novarese,"Terry Miles,Alan Fama"
[Film4703],The Tree of Wooden Clogs,31542,/8lxoodi0CHr8KWBi7XKlgRsGlXG.jpg,1978-08-28,187,Drama,it,"Luigi Ornaghi,Francesca Moriggi,Omar Brignoli,Antonio Ferrari,Teresa Brescianini",Ermanno Olmi,,Ermanno Olmi,,Ermanno Olmi,Ermanno Olmi,,,Enrico Tovaglieri,Francesca Zucchelli,Guiliana DeCarli
[Film4719],Bed and Board,258,/s9R5wKbrB9SfOG1FzbICbOsssX8.jpg,1970-09-09,97,"Comedy,Drama,Romance",fr,"Jean-Pierre Léaud,Claude Jade,Daniel Ceccaldi,Claire Duhamel,Hiroko Berghauer",François Truffaut,"François Truffaut,Marcel Berbert,André Mucchielli,Hercule Mucchielli",,,Agnès Guillemot,Néstor Almendros,Antoine Duhamel,,Jean Mandaroux,Françoise Tournafond,Nicole Félix
[Film4724],Two English Girls,42513,/2fc5hjuzJbkVKXLy0SoAr2Hbdy2.jpg,1971-11-18,130,"Drama,Romance,History",fr,"Jean-Pierre Léaud,Kika Markham,Stacey Tendeter,Philippe Léotard,Georges Delerue",François Truffaut,,,,"Martine Barraqué,Yann Dedet",Néstor Almendros,Georges Delerue,,Michel de Broin,Gitt Magrini,
[Film47806],Ten Minutes Older,200547,/sLRXYGexSPr0zHsOSpHEH5fEtPT.jpg,1978-05-11,10,Documentary,xx,,Herz Frank,,Herz Frank,,,Juris Podnieks,,,,,
[Film4788],Conquest of the Planet of the Apes,1688,/kqWxUDBxD2Qm0dPVTt1i1z5RzbR.jpg,1972-06-29,88,"Action,Science Fiction",en,"Roddy McDowall,Don Murray,Ricardo Montalban,Hari Rhodes,Severn Darden",J. Lee Thompson,Arthur P. Jacobs,,,"Marjorie Fowler,Alan Jaggs",Bruce Surtees,Tom Scott,Philip M. Jefferies,Philip M. Jefferies,Morton Haack,"Joe DiBella,Jack Barron"
[Film47],The Red Circle,11657,/uhD1hze6IkGsEYaJZyAzOxvBS2Y.jpg,1970-10-19,140,"Thriller,Crime",fr,"Alain Delon,Bourvil,Gian Maria Volonté,Yves Montand,Paul Crauchet",Jean-Pierre Melville,Robert Dorfmann,Jean-Pierre Melville,,"Jean-Pierre Melville,Marie-Sophie Dubus",Henri Decaë,Éric Demarsan,,Théobald Meurisse,,
